Threads,1,2,4,8,16,32,64,128,256,512,1024
Ouroboros-C-S - mean,0.0214067,0.0214624,0.0208947,0.0227526,0.0239322,0.024023,0.0255264,0.0270925,0.295075,0.0372954,0.0397562
Ouroboros-C-S - std_dev,0.0756485,0.0739524,0.0756582,0.0750161,0.0744671,0.0752293,0.0739126,0.0743774,1.90472,0.0742778,0.0762925
Ouroboros-C-S - min,0.008512,0.008512,0.00848,0.0104,0.012384,0.012128,0.013056,0.014432,0.021856,0.024256,0.026016
Ouroboros-C-S - max,0.550816,0.538752,0.550208,0.547648,0.545152,0.550496,0.542496,0.547424,13.6281,0.556768,0.573504
Ouroboros-C-S - median,0.010496,0.009344,0.009344,0.011232,0.013024,0.012992,0.014048,0.01616,0.022944,0.025376,0.027936
RegEff-AW - mean,0.009632,0.00836096,0.0096352,0.00993792,0.0084128,0.00947904,0.00898176,0.00888576,0.00810432,0.00854464,0.00821888
RegEff-AW - std_dev,0.0016802,0.00173788,0.00429516,0.00426222,0.0019033,0.00400049,0.00482524,0.00358438,0.00335606,0.00261041,0.00171869
RegEff-AW - min,0.00848,0.00752,0.006912,0.006912,0.00704,0.00736,0.006656,0.007552,0.00688,0.006784,0.006944
RegEff-AW - max,0.021152,0.01824,0.02656,0.02752,0.01616,0.026144,0.033216,0.028,0.027616,0.017184,0.014912
RegEff-AW - median,0.009408,0.00768,0.007776,0.007776,0.007744,0.007744,0.007744,0.007776,0.007744,0.007776,0.007776
Ouroboros-C-VA - mean,0.0225843,0.0253389,0.0215853,0.0237286,0.0278957,0.0246771,0.029623,0.0280589,0.0356768,0.0392474,0.0437773
Ouroboros-C-VA - std_dev,0.0762291,0.101156,0.0759281,0.0786969,0.0897102,0.0758067,0.0976674,0.0738217,0.0790708,0.0727455,0.0770431
Ouroboros-C-VA - min,0.010336,0.009152,0.008576,0.010976,0.013152,0.01168,0.014784,0.016192,0.02192,0.025984,0.029664
Ouroboros-C-VA - max,0.555744,0.733056,0.552608,0.574432,0.655648,0.555168,0.713184,0.544352,0.588864,0.547872,0.582336
Ouroboros-C-VA - median,0.010432,0.009856,0.009792,0.011776,0.013888,0.0136,0.015232,0.0168,0.02384,0.028128,0.031616
Ouroboros-P-VA - mean,0.0259424,0.0246291,0.022969,0.0222675,0.0234643,0.0243827,0.0249843,0.0261875,0.0253926,0.023863,0.0240454
Ouroboros-P-VA - std_dev,0.108443,0.103352,0.0926565,0.0914719,0.0949034,0.0945058,0.0934947,0.111271,0.102296,0.0956754,0.0946112
Ouroboros-P-VA - min,0.008192,0.009056,0.008608,0.00832,0.008416,0.009248,0.008448,0.008448,0.008576,0.007968,0.008832
Ouroboros-P-VA - max,0.784864,0.747936,0.67152,0.662528,0.687616,0.6856,0.678944,0.8048,0.74112,0.693344,0.686176
Ouroboros-P-VA - median,0.0104,0.009216,0.009408,0.009216,0.009248,0.009376,0.010592,0.009248,0.009472,0.009408,0.010048
CUDA - mean,0.0989933,0.0975672,0.0985555,0.103777,0.118365,0.14064,0.161932,0.199067,0.235727,0.244308,0.292196
CUDA - std_dev,0.573556,0.577586,0.573075,0.574172,0.579925,0.576539,0.573532,0.57786,0.5758,0.577633,0.576368
CUDA - min,0.01616,0.014304,0.01616,0.021504,0.033824,0.057024,0.076768,0.102976,0.135328,0.145664,0.19744
CUDA - max,4.11389,4.14067,4.11008,4.12298,4.17779,4.17638,4.17661,4.2439,4.2657,4.2872,4.3264
CUDA - median,0.016992,0.015104,0.016448,0.0216,0.034816,0.057504,0.081152,0.117952,0.152864,0.162656,0.209088
ScatterAlloc - mean,0.0118758,0.010727,0.00984576,0.00945664,0.0104013,0.0107974,0.00980032,0.00997696,0.00979712,0.0107923,0.0110976
ScatterAlloc - std_dev,0.00114702,0.00357827,0.00222335,0.00210123,0.00366616,0.00308299,0.00238787,0.00254305,0.00211615,0.00429012,0.00397525
ScatterAlloc - min,0.010336,0.0088,0.008192,0.008096,0.009024,0.00816,0.00768,0.008096,0.008416,0.008256,0.008576
ScatterAlloc - max,0.016576,0.03168,0.016096,0.018816,0.0256,0.025728,0.017792,0.019072,0.016576,0.025856,0.025952
ScatterAlloc - median,0.011584,0.009696,0.009024,0.008928,0.009088,0.009984,0.00896,0.00896,0.009056,0.009056,0.009312
RegEff-CM - mean,0.00992896,0.0107091,0.0101338,0.0118131,0.014048,0.0198848,0.0321933,0.0599091,0.124881,0.126101,0.127473
RegEff-CM - std_dev,0.00339438,0.00347685,0.00205216,0.00300309,0.00275639,0.0010229,0.00410156,0.00214439,0.00929191,0.00420625,0.00350132
RegEff-CM - min,0.007808,0.00816,0.008736,0.010048,0.012608,0.018976,0.029984,0.05856,0.102944,0.107648,0.116672
RegEff-CM - max,0.023552,0.022336,0.016576,0.027904,0.026304,0.02656,0.0488,0.07024,0.139264,0.13952,0.140192
RegEff-CM - median,0.00864,0.00896,0.0096,0.01088,0.013472,0.019808,0.030944,0.059616,0.128288,0.127584,0.128512
RegEff-C - mean,0.0102688,0.00991808,0.0101658,0.0120672,0.0143622,0.0194835,0.0314131,0.0607558,0.109827,0.233855,0.458628
RegEff-C - std_dev,0.00260241,0.000495841,0.00286967,0.00336873,0.00337417,0.00253511,0.00228146,0.00176554,0.0094334,0.00750211,0.0231796
RegEff-C - min,0.008608,0.008288,0.008608,0.010144,0.01248,0.017888,0.029856,0.059744,0.102368,0.216512,0.328672
RegEff-C - max,0.021344,0.011552,0.024448,0.025536,0.03104,0.032672,0.043392,0.071648,0.139328,0.260512,0.487552
RegEff-C - median,0.009408,0.010048,0.009408,0.010688,0.013344,0.018784,0.03088,0.060384,0.105632,0.231616,0.462368
Halloc - mean,0.0333465,0.0330733,0.0343571,0.0333472,0.0330272,0.0347296,0.0327866,0.0332314,0.034409,0.0336397,0.0346458
Halloc - std_dev,0.163709,0.165153,0.17131,0.1629,0.163549,0.164297,0.163983,0.164725,0.170012,0.164972,0.164991
Halloc - min,0.008928,0.007904,0.008736,0.007648,0.007936,0.008288,0.006432,0.008224,0.00832,0.008128,0.008352
Halloc - max,1.17926,1.18902,1.23338,1.17347,1.17773,1.18464,1.18058,1.18621,1.22435,1.18822,1.18931
Halloc - median,0.009792,0.008736,0.0088,0.008832,0.008864,0.01024,0.008864,0.008992,0.009024,0.008896,0.00992
XMalloc - mean,0.0123091,0.0112915,0.00933184,0.00942464,0.0105523,0.0106317,0.0104461,0.0107347,0.0124691,0.0131085,0.0153926
XMalloc - std_dev,0.00842258,0.00936919,0.0069494,0.00685178,0.00825573,0.00991252,0.008301,0.0104441,0.0125032,0.0150998,0.0202499
XMalloc - min,0.009504,0.008992,0.00736,0.007168,0.0072,0.007456,0.007232,0.008192,0.00896,0.008672,0.010528
XMalloc - max,0.070048,0.074816,0.057824,0.05696,0.065888,0.07648,0.066208,0.083456,0.098464,0.117792,0.156544
XMalloc - median,0.01088,0.00928,0.008608,0.00864,0.00864,0.00864,0.008672,0.009024,0.009824,0.01056,0.012256
Ouroboros-C-VL - mean,0.0240141,0.0206861,0.0212179,0.0231309,0.0248813,0.0270342,0.0293664,0.028624,0.0364768,0.0392825,0.0430803
Ouroboros-C-VL - std_dev,0.0844238,0.0757254,0.0745839,0.0752174,0.0765801,0.0809193,0.0937348,0.0852202,0.0845719,0.0769687,0.0766957
Ouroboros-C-VL - min,0.010976,0.00816,0.008288,0.010816,0.012064,0.012448,0.014848,0.014592,0.021888,0.025088,0.029184
Ouroboros-C-VL - max,0.614976,0.550528,0.542976,0.54944,0.560736,0.593216,0.685504,0.62512,0.628192,0.577728,0.579808
Ouroboros-C-VL - median,0.012064,0.008896,0.009728,0.011648,0.013504,0.014432,0.016064,0.016352,0.023808,0.027584,0.031936
RegEff-CFM - mean,0.00944,0.0115731,0.00946496,0.0118752,0.0130144,0.0175341,0.0228102,0.0391686,0.0826752,0.0831494,0.087671
RegEff-CFM - std_dev,0.00336317,0.00371012,0.000855383,0.00456946,0.00374211,0.00348336,0.00344505,0.00322468,0.00644819,0.00520501,0.00468602
RegEff-CFM - min,0.007136,0.009152,0.008768,0.009152,0.011712,0.014528,0.020704,0.034816,0.069024,0.07104,0.082048
RegEff-CFM - max,0.025376,0.021408,0.014496,0.026304,0.03264,0.032288,0.033696,0.052896,0.102464,0.10784,0.103648
RegEff-CFM - median,0.008512,0.010016,0.009248,0.009984,0.01184,0.016256,0.021568,0.038144,0.08272,0.082912,0.086848
Ouroboros-P-S - mean,0.0227974,0.0227603,0.0239578,0.0212614,0.0212851,0.021737,0.0214733,0.0213152,0.0216781,0.0217786,0.0225453
Ouroboros-P-S - std_dev,0.0867514,0.0872821,0.105787,0.0820044,0.0842409,0.0858718,0.0836261,0.0843514,0.0847319,0.0850181,0.0866614
Ouroboros-P-S - min,0.008864,0.008896,0.007872,0.00784,0.007616,0.008544,0.007168,0.007776,0.00752,0.007872,0.007936
Ouroboros-P-S - max,0.629888,0.6336,0.764448,0.59504,0.610752,0.622656,0.606496,0.61152,0.614368,0.616544,0.628736
Ouroboros-P-S - median,0.009664,0.009728,0.008704,0.008672,0.00864,0.008672,0.008672,0.00864,0.008704,0.008704,0.008768
RegEff-CF - mean,0.00931776,0.009136,0.00975552,0.010432,0.0119309,0.0149926,0.0223302,0.038112,0.0834675,0.160351,0.327807
RegEff-CF - std_dev,0.00366174,0.00260067,0.00237341,0.00252896,0.0031551,0.00112037,0.00291103,0.00252118,0.00636198,0.00781326,0.0159566
RegEff-CF - min,0.007552,0.007136,0.008096,0.008608,0.010464,0.01408,0.020928,0.035136,0.069408,0.144672,0.279712
RegEff-CF - max,0.02528,0.017664,0.017696,0.018176,0.02544,0.021472,0.0336,0.0528,0.102848,0.187456,0.351488
RegEff-CF - median,0.008288,0.008448,0.008896,0.009728,0.010656,0.014912,0.021216,0.03776,0.08368,0.15776,0.332416
Ouroboros-P-VL - mean,0.0236666,0.021225,0.0215078,0.0227277,0.0215155,0.0215757,0.021664,0.0214086,0.0220339,0.0235411,0.0262515
Ouroboros-P-VL - std_dev,0.10104,0.0790389,0.0811854,0.0867196,0.0793134,0.0803259,0.0795855,0.0790259,0.0799399,0.0884329,0.10947
Ouroboros-P-VL - min,0.007584,0.007936,0.007936,0.006368,0.00864,0.008672,0.008672,0.008032,0.008704,0.008736,0.00752
Ouroboros-P-VL - max,0.730752,0.574208,0.58944,0.62944,0.576512,0.58368,0.578368,0.574304,0.581312,0.642272,0.792064
Ouroboros-P-VL - median,0.008512,0.009376,0.008672,0.00944,0.009504,0.009504,0.009504,0.009472,0.009536,0.0096,0.009824
