Byte-Range,4-4,4-8,4-16,4-32
RegEff-CM - mean,0.00429056,0.0042208,0.0041792,0.0044544
RegEff-CM - std_dev,0.00157815,0.000363633,0.000376187,0.000336533
RegEff-CM - min,0.28416,0.215552,0.245024,0.247168
RegEff-CM - max,0.359264,0.357152,0.356736,0.354944
RegEff-CM - median,0.004032,0.004224,0.004256,0.004672
Ouroboros-P-VL - mean,0.0194157,0.0191443,0.0179302,0.0140576
Ouroboros-P-VL - std_dev,0.00203048,0.00203031,0.00191618,0.00142186
Ouroboros-P-VL - min,0.009984,0.010272,0.011648,0.011552
Ouroboros-P-VL - max,0.946464,0.920608,0.838688,0.839264
Ouroboros-P-VL - median,0.019296,0.018976,0.017472,0.013952
Ouroboros-C-VL - mean,0.0106579,0.0103386,0.00952,0.00951808
Ouroboros-C-VL - std_dev,0.000419452,0.000523074,0.000516312,0.0025048
Ouroboros-C-VL - min,0.063712,0.065696,0.058816,0.060736
Ouroboros-C-VL - max,0.723232,0.651552,2.9065,0.6752
Ouroboros-C-VL - median,0.010624,0.010528,0.009632,0.009312
ScatterAlloc - mean,0.010535,0.00620992,0.00526016,0.00536512
ScatterAlloc - std_dev,0.00854827,0.00238018,0.0004434,0.000686163
ScatterAlloc - min,0.004416,0.00448,0.005408,0.005152
ScatterAlloc - max,0.02928,0.012704,0.01184,0.008096
ScatterAlloc - median,0.00656,0.005248,0.005248,0.005248
Ouroboros-P-VA - mean,0.0152454,0.0143693,0.0135482,0.0128954
Ouroboros-P-VA - std_dev,0.00120797,0.000801201,0.000725826,0.000596351
Ouroboros-P-VA - min,0.007232,0.006688,0.007392,0.007872
Ouroboros-P-VA - max,4.1959,1.27222,1.25261,13.2986
Ouroboros-P-VA - median,0.01472,0.014304,0.0136,0.012832
RegEff-AW - mean,0.00344448,0.00347968,0.00354176,0.00361408
RegEff-AW - std_dev,0.000374975,0.000130348,7.42068e-05,0.000731714
RegEff-AW - min,0.003008,0.004064,0.004064,0.003424
RegEff-AW - max,0.00976,0.01008,0.009568,0.010816
RegEff-AW - median,0.003552,0.00352,0.003552,0.003552
Ouroboros-C-S - mean,0.0111104,0.0108768,0.0102413,0.0094976
Ouroboros-C-S - std_dev,0.00105528,0.000385504,0.000285569,0.000268952
Ouroboros-C-S - min,0.058304,0.058496,0.052096,0.0544
Ouroboros-C-S - max,0.744672,0.686944,0.686592,0.702336
Ouroboros-C-S - median,0.01104,0.01104,0.01024,0.009568
Ouroboros-P-S - mean,0.0136147,0.0128122,0.0133882,0.0149747
Ouroboros-P-S - std_dev,0.00199856,0.001408,0.00096769,0.00207965
Ouroboros-P-S - min,0.004576,0.004608,0.00496,0.004992
Ouroboros-P-S - max,0.857824,0.872544,0.963776,3.6833
Ouroboros-P-S - median,0.012448,0.012384,0.013152,0.014016
XMalloc - mean,,,,
XMalloc - std_dev,,,,
XMalloc - min,,,,
XMalloc - max,,,,
XMalloc - median,,,,
CUDA - mean,2.21656,2.21695,2.21318,2.19236
CUDA - std_dev,0.0482822,0.0446295,0.0431496,0.0590341
CUDA - min,0.917664,0.907712,0.930848,0.90272
CUDA - max,5.25264,5.23667,5.18938,5.17859
CUDA - median,2.22547,2.22339,2.22374,2.2041
RegEff-CFM - mean,,,,
RegEff-CFM - std_dev,,,,
RegEff-CFM - min,,,,
RegEff-CFM - max,,,,
RegEff-CFM - median,,,,
Ouroboros-C-VA - mean,0.012201,0.0119936,0.0112461,0.0102957
Ouroboros-C-VA - std_dev,0.000311374,0.000488794,0.000524299,0.000814331
Ouroboros-C-VA - min,0.063968,0.066048,0.060032,0.06096
Ouroboros-C-VA - max,0.630976,0.670272,0.72784,0.6768
Ouroboros-C-VA - median,0.012288,0.012192,0.011392,0.010368
RegEff-CF - mean,0.0044512,0.00468992,0.0046304,0.00469632
RegEff-CF - std_dev,0.000355661,0.000988777,0.000228189,0.000473105
RegEff-CF - min,4.50659,4.78349,4.65731,4.38304
RegEff-CF - max,7.30464,7.5368,11.185,9.93462
RegEff-CF - median,0.004544,0.004544,0.00464,0.004704
Halloc - mean,,,,
Halloc - std_dev,,,,
Halloc - min,,,,
Halloc - max,,,,
Halloc - median,,,,
RegEff-C - mean,0.00438656,0.00433408,,
RegEff-C - std_dev,0.000719049,0.000393855,,
RegEff-C - min,5.30531,3.3305,,
RegEff-C - max,8.84109,6.5737,,
RegEff-C - median,0.004256,0.004384,,
