Threads,1,2,4,8,16,32,64,128,256,512,1024
Ouroboros-P-VA - mean,0.0283482,0.0261357,0.0257171,0.0272102,0.0261818,0.0274432,0.027424,0.0272102,0.026281,0.0256435,0.0269178
Ouroboros-P-VA - std_dev,0.121449,0.112141,0.112513,0.111781,0.113058,0.121511,0.112175,0.113582,0.113189,0.107621,0.114077
Ouroboros-P-VA - min,0.009568,0.008288,0.008352,0.008352,0.008,0.008352,0.008416,0.008192,0.008832,0.008608,0.009696
Ouroboros-P-VA - max,0.8784,0.810944,0.813184,0.809376,0.817344,0.877856,0.81248,0.82192,0.818528,0.77872,0.825376
Ouroboros-P-VA - median,0.0104,0.009152,0.009184,0.010496,0.009216,0.009216,0.010592,0.009408,0.009536,0.009472,0.010368
ScatterAlloc - mean,0.0124358,0.0115923,0.0100902,0.0103168,0.00896704,0.00876416,0.01008,0.0103782,0.00917696,0.00977536,0.00930368
ScatterAlloc - std_dev,0.00353905,0.00264722,0.00226203,0.00324908,0.000652903,0.000749337,0.00265386,0.00287891,0.000598196,0.00218674,0.000989847
ScatterAlloc - min,0.009472,0.010304,0.008384,0.008096,0.008032,0.007456,0.008352,0.008288,0.008352,0.008224,0.008352
ScatterAlloc - max,0.02672,0.020704,0.016288,0.024224,0.012704,0.012416,0.018272,0.018016,0.012864,0.016128,0.015136
ScatterAlloc - median,0.011392,0.010368,0.009184,0.008928,0.00896,0.008928,0.008992,0.00896,0.009184,0.009056,0.009184
Ouroboros-P-S - mean,0.024601,0.024224,0.0228173,0.0223354,0.0227034,0.0224506,0.0209779,0.0225446,0.023063,0.0227699,0.0246554
Ouroboros-P-S - std_dev,0.0958503,0.0972736,0.0928657,0.0921105,0.0926071,0.0926816,0.0899414,0.0924217,0.0926294,0.0929817,0.104094
Ouroboros-P-S - min,0.009632,0.006816,0.007936,0.007808,0.007968,0.007552,0.007104,0.007776,0.008096,0.007808,0.007936
Ouroboros-P-S - max,0.69552,0.704896,0.672864,0.666944,0.670944,0.671008,0.65056,0.669312,0.671456,0.673408,0.753024
Ouroboros-P-S - median,0.010944,0.009408,0.009632,0.00864,0.009536,0.008672,0.007872,0.00864,0.009824,0.008736,0.008736
Ouroboros-C-VL - mean,0.0202995,0.0215571,0.022297,0.0216781,0.0210573,0.0205414,0.0212838,0.0216493,0.0227584,0.0240986,0.0343315
Ouroboros-C-VL - std_dev,0.0760101,0.0792444,0.0745265,0.0772548,0.0753753,0.0723761,0.0756446,0.0761338,0.076149,0.0751093,0.0786915
Ouroboros-C-VL - min,0.008192,0.008896,0.009024,0.008864,0.008832,0.00832,0.008864,0.008736,0.010688,0.011936,0.018944
Ouroboros-C-VL - max,0.552352,0.576096,0.543808,0.562208,0.548288,0.526912,0.550496,0.5544,0.555616,0.549632,0.584352
Ouroboros-C-VL - median,0.009664,0.009696,0.011104,0.009728,0.009696,0.009728,0.009728,0.01024,0.01136,0.012832,0.02224
Ouroboros-C-S - mean,0.0231213,0.0229958,0.0209875,0.0210822,0.0209466,0.0204602,0.0218624,0.0221453,0.0225229,0.0244013,0.030656
Ouroboros-C-S - std_dev,0.0762972,0.0769686,0.0747329,0.0741141,0.074207,0.0750683,0.0796585,0.0745994,0.0749213,0.0748869,0.074056
Ouroboros-C-S - min,0.010016,0.01072,0.008768,0.009344,0.00864,0.008576,0.008352,0.00912,0.010112,0.012608,0.018304
Ouroboros-C-S - max,0.556992,0.561664,0.54384,0.539872,0.540384,0.545728,0.579456,0.544032,0.54656,0.548416,0.548992
Ouroboros-C-S - median,0.011744,0.011552,0.00944,0.010656,0.010528,0.009408,0.010784,0.010048,0.011232,0.012704,0.020032
RegEff-CFM - mean,0.00962624,0.00955328,0.0108397,0.0101254,0.0119411,0.0158144,0.0216077,0.0399456,0.0816928,0.0862714,0.0858579
RegEff-CFM - std_dev,0.00269934,0.00247245,0.00289164,0.000957717,0.000911284,0.00312621,0.00161586,0.00269524,0.0056659,0.00503497,0.00444791
RegEff-CFM - min,0.007712,0.007872,0.009088,0.009152,0.011648,0.014304,0.020416,0.035296,0.070528,0.073376,0.076384
RegEff-CFM - max,0.018624,0.017792,0.018912,0.015584,0.018208,0.032,0.031456,0.052448,0.103392,0.10256,0.101248
RegEff-CFM - median,0.008608,0.0088,0.009216,0.010048,0.011776,0.0152,0.021216,0.04,0.082368,0.084544,0.084608
RegEff-CF - mean,0.00877888,0.00927744,0.0102554,0.0120205,0.0125606,0.0152538,0.0226534,0.040544,0.0819392,0.160098,0.328699
