Bytes,3900,3904,3908,3912,3916,3920,3924,3928,3932,3936,3940,3944,3948,3952,3956,3960,3964,3968,3972,3976,3980,3984,3988,3992,3996,4000,4004,4008,4012,4016,4020,4024,4028,4032,4036,4040,4044,4048,4052,4056,4060,4064,4068,4072,4076,4080,4084,4088,4092,4096,4100,4104,4108,4112,4116,4120,4124,4128,4132,4136,4140,4144,4148,4152,4156,4160,4164,4168,4172,4176,4180,4184,4188,4192,4196,4200,4204,4208,4212,4216,4220,4224,4228,4232,4236,4240,4244,4248,4252,4256,4260,4264,4268,4272,4276,4280
Ouroboros-P-S - mean,0.0763129,0.063319,0.069353,0.0667962,0.063481,0.0665549,0.0647552,0.0759949,0.0665511,0.068599,0.0644499,0.0658087,0.067575,0.0662061,0.0714547,0.0654976,0.0670701,0.0663897,0.066281,0.0665805,0.0660986,0.065696,0.0630202,0.0638695,0.0693638,0.0742343,0.0652403,0.0664768,0.0700218,0.0653959,0.0646554,0.0643264,0.0704576,0.0695943,0.0666752,0.0652909,0.0688807,0.0647034,0.0686067,0.0643469,0.0683405,0.0659097,0.0667341,0.0694675,0.0722695,0.0692474,0.0651552,0.0649555,0.0648698,0.0663059,0.107215,0.109005,0.106316,0.10985,0.10967,0.10446,0.107625,0.107224,0.107367,0.107528,0.107793,0.109185,0.11245,0.106056,0.10743,0.106741,0.103818,0.109479,0.114273,0.10825,0.105023,0.105538,0.107153,0.10486,0.109853,0.105594,0.106906,0.106127,0.106891,0.106973,0.107955,0.106351,0.105874,0.107688,0.106518,0.107786,0.111118,0.111583,0.11103,0.105329,0.107744,0.10609,0.117164,0.107137,0.10527,0.108587
Ouroboros-P-S - std_dev,0.461188,0.373418,0.386226,0.385013,0.372286,0.387823,0.370108,0.39603,0.387104,0.389044,0.377516,0.385791,0.390173,0.389163,0.425935,0.390216,0.392944,0.389176,0.388849,0.385357,0.388276,0.396408,0.376857,0.376071,0.390788,0.446407,0.372902,0.389221,0.400016,0.380608,0.388835,0.373838,0.374569,0.395819,0.391924,0.389776,0.389456,0.37722,0.382202,0.376027,0.387477,0.386222,0.375346,0.391639,0.380305,0.392434,0.375702,0.384696,0.388607,0.387941,0.672491,0.685366,0.665622,0.671938,0.669257,0.66057,0.671784,0.673584,0.673475,0.663564,0.659003,0.683136,0.675283,0.673142,0.673663,0.669776,0.643229,0.675366,0.672864,0.667568,0.656824,0.667105,0.678897,0.659835,0.670899,0.675091,0.656964,0.669176,0.672162,0.669532,0.679798,0.67221,0.672555,0.672946,0.670059,0.672661,0.668922,0.688262,0.677505,0.671379,0.675881,0.661392,0.732332,0.670589,0.65569,0.674793
Ouroboros-P-S - min,0.009216,0.007904,0.008224,0.007424,0.007584,0.008192,0.007744,0.009024,0.007136,0.007168,0.006784,0.007552,0.008192,0.007648,0.008224,0.0072,0.007584,0.008192,0.007584,0.008192,0.008064,0.007552,0.00816,0.008352,0.00752,0.007616,0.00816,0.008224,0.007616,0.007584,0.00752,0.008256,0.009088,0.00832,0.008384,0.007616,0.008224,0.007584,0.007008,0.006944,0.008192,0.007648,0.007584,0.008192,0.009056,0.00768,0.006912,0.006912,0.008224,0.008192,0.0072,0.008224,0.00848,0.008192,0.00816,0.007072,0.00736,0.007424,0.007712,0.008256,0.0064,0.007328,0.006848,0.006624,0.008256,0.0072,0.008256,0.008096,0.00704,0.007744,0.00848,0.008064,0.008064,0.007456,0.0072,0.007264,0.006784,0.007616,0.008096,0.008,0.008384,0.006624,0.00816,0.007872,0.007584,0.008192,0.008224,0.008416,0.008192,0.007552,0.007616,0.007808,0.006752,0.008384,0.009184,0.007616
Ouroboros-P-S - max,3.30461,2.67712,2.77037,2.7617,2.66941,2.78122,2.65536,2.84317,2.77613,2.7895,2.70694,2.76618,2.79843,2.79027,3.0528,2.79696,2.81757,2.79034,2.78813,2.7639,2.78394,2.84054,2.70099,2.69629,2.80166,3.19882,2.67536,2.79091,2.86954,2.72954,2.7865,2.68109,2.69101,2.83869,2.81005,2.79366,2.79331,2.70512,2.7439,2.69632,2.77914,2.76928,2.69235,2.80963,2.73411,2.81325,2.69488,2.75773,2.78509,2.78147,4.81453,4.9065,4.7656,4.81197,4.79136,4.72838,4.81005,4.82224,4.82147,4.75133,4.72054,4.89101,4.83936,4.81802,4.82294,4.7951,4.60627,4.83686,4.82349,4.78109,4.70275,4.77523,4.85939,4.72362,4.80602,4.83123,4.70547,4.7903,4.81197,4.79357,4.8665,4.81178,4.81373,4.81802,4.79686,4.81635,4.79344,4.92899,4.85059,4.80496,4.83882,4.73578,5.24342,4.80118,4.69504,4.83155
Ouroboros-P-S - median,0.010048,0.009024,0.009088,0.009088,0.009024,0.009088,0.009056,0.015328,0.009056,0.009024,0.009088,0.009056,0.00912,0.009088,0.009056,0.009056,0.009088,0.008352,0.009056,0.009056,0.009024,0.009056,0.009056,0.009056,0.009056,0.009024,0.009344,0.009056,0.009088,0.009056,0.009056,0.009088,0.015552,0.009088,0.009184,0.009056,0.009056,0.009056,0.014208,0.009056,0.009056,0.009024,0.009056,0.009056,0.015872,0.009088,0.009056,0.009024,0.009056,0.009056,0.009056,0.009088,0.009088,0.009088,0.009056,0.008288,0.009088,0.009248,0.009088,0.009056,0.00912,0.008384,0.015648,0.009056,0.009056,0.009056,0.00912,0.00912,0.019072,0.014816,0.009152,0.009056,0.009024,0.008256,0.014336,0.009056,0.009056,0.009024,0.009056,0.009056,0.009088,0.009056,0.009056,0.009056,0.009056,0.009088,0.015616,0.009152,0.009056,0.009024,0.009056,0.009088,0.013952,0.009152,0.009376,0.009056
Ouroboros-P-VA - mean,0.070825,0.068697,0.0689613,0.0706195,0.0701517,0.0723245,0.27919,0.0691565,0.300863,0.0693171,0.070608,0.0706886,0.0705549,0.0721856,0.0715239,0.174714,0.0707207,0.326129,0.0710112,0.0704787,0.179364,0.0686029,0.305711,0.0706714,0.235624,0.0760826,0.069648,0.069641,0.248445,0.070368,0.0705747,0.313713,0.0699456,0.265235,0.0706822,0.0697165,0.0758195,0.0669504,0.070272,0.294207,0.0701421,0.07232,0.0697178,0.069513,0.0686944,0.0714035,0.0708979,0.0703379,0.0705997,0.069177,0.110133,0.108234,0.109674,0.112797,0.109505,0.110497,0.108154,0.275097,0.1103,0.10922,0.107635,0.294716,0.11046,0.282219,0.111578,0.110688,0.109864,0.280385,0.108411,0.109652,0.109961,0.11009,0.111821,0.111094,0.113234,0.110246,0.123377,0.106571,0.110548,0.111702,0.109155,0.107668,0.110467,0.109907,0.110232,0.110824,0.108847,0.113279,0.110783,0.109679,0.114131,0.109928,0.109692,0.118061,0.113184,0.110256
Ouroboros-P-VA - std_dev,0.394191,0.397373,0.386276,0.394939,0.40112,0.39457,1.86713,0.391898,2.02327,0.394388,0.396188,0.412814,0.394989,0.405215,0.400532,1.13707,0.395932,2.20151,0.399241,0.399783,1.16933,0.381839,2.05579,0.394755,1.56151,0.39574,0.393567,0.397695,1.65403,0.3939,0.394467,2.11193,0.393925,1.7712,0.396426,0.399634,0.398575,0.384386,0.395934,1.9756,0.393775,0.413678,0.393169,0.402893,0.388691,0.408337,0.398473,0.395435,0.406597,0.390399,0.670964,0.665968,0.673619,0.68246,0.665781,0.671327,0.661069,1.83631,0.674187,0.67272,0.658967,1.97169,0.674175,1.88669,0.6736,0.684768,0.675493,1.87248,0.660353,0.679404,0.674666,0.673601,0.676888,0.681882,0.679414,0.67466,0.73519,0.660511,0.672363,0.675133,0.66769,0.665379,0.67471,0.675521,0.6714,0.671932,0.662988,0.678161,0.680909,0.66016,0.688912,0.676059,0.678013,0.699826,0.694748,0.67511
Ouroboros-P-VA - min,0.010144,0.010656,0.011616,0.010656,0.010752,0.010368,0.010432,0.009696,0.010624,0.010496,0.010688,0.010464,0.010592,0.010688,0.010592,0.01072,0.01072,0.010592,0.0104,0.011616,0.011264,0.010784,0.010432,0.010752,0.011712,0.011776,0.010656,0.010624,0.0104,0.010848,0.010528,0.010656,0.010688,0.010112,0.010784,0.010688,0.012032,0.00912,0.010528,0.010688,0.01088,0.011456,0.010528,0.010656,0.010656,0.010624,0.010656,0.010688,0.01152,0.010528,0.011456,0.010624,0.011008,0.010688,0.011296,0.011584,0.010656,0.01168,0.0112,0.010592,0.011328,0.011488,0.010496,0.011712,0.010624,0.011648,0.010688,0.01168,0.010496,0.011136,0.01104,0.010528,0.010464,0.010592,0.011008,0.010816,0.014112,0.010304,0.010592,0.011392,0.010816,0.010784,0.0104,0.011584,0.010656,0.011136,0.011584,0.011072,0.010464,0.01072,0.010752,0.010656,0.011392,0.01408,0.01072,0.011264
Ouroboros-P-VA - max,2.82992,2.8503,2.7728,2.8351,2.87795,2.83248,13.3491,2.81238,14.4637,2.82998,2.84378,2.96038,2.83533,2.90858,2.87514,8.13421,2.84211,15.7367,2.8656,2.86893,8.36467,2.74128,14.6962,2.83386,11.1662,2.84605,2.82451,2.85347,11.8266,2.82752,2.83162,15.0972,2.82736,12.6636,2.84554,2.8671,2.86339,2.75763,2.84173,14.1234,2.8265,2.96803,2.82182,2.88976,2.78947,2.9297,2.86006,2.83821,2.91677,2.80186,4.80678,4.76998,4.82496,4.88995,4.76989,4.80963,4.73558,13.1292,4.82957,4.81795,4.72038,14.0965,4.82963,13.4891,4.82662,4.90406,4.83827,13.3878,4.73082,4.86547,4.83254,4.82522,4.84992,4.88419,4.86758,4.83283,5.2697,4.73014,4.81696,4.83747,4.78291,4.76531,4.83338,4.83853,4.80995,4.81424,4.74973,4.86035,4.87709,4.73046,4.93642,4.8423,4.85578,5.0168,4.97632,4.836
