Bytes,3900,3904,3908,3912,3916,3920,3924,3928,3932,3936,3940,3944,3948,3952,3956,3960,3964,3968,3972,3976,3980,3984,3988,3992,3996,4000,4004,4008,4012,4016,4020,4024,4028,4032,4036,4040,4044,4048,4052,4056,4060,4064,4068,4072,4076,4080,4084,4088,4092,4096,4100,4104,4108,4112,4116,4120,4124,4128,4132,4136,4140,4144,4148,4152,4156,4160,4164,4168,4172,4176,4180,4184,4188,4192,4196,4200,4204,4208,4212,4216,4220,4224,4228,4232,4236,4240,4244,4248,4252,4256,4260
RegEff-CFM - mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RegEff-CFM - std_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RegEff-CFM - min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RegEff-CFM - max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RegEff-CFM - median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RegEff-C - mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RegEff-C - std_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RegEff-C - min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RegEff-C - max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RegEff-C - median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ouroboros-C-VL - min,0.018976,0.019776,0.019168,0.01872,0.018496,0.01904,0.019104,0.018624,0.01936,0.019232,0.018816,0.019168,0.019296,0.019392,0.01936,0.01904,0.018816,0.0192,0.019744,0.019424,0.019744,0.018752,0.019168,0.01872,0.018976,0.0192,0.019392,0.018688,0.019808,0.0192,0.018976,0.01904,0.019104,0.019072,0.018592,0.018784,0.019168,0.019584,0.0192,0.0192,0.019072,0.0192,0.019328,0.019328,0.018592,0.019264,0.01904,0.019104,0.019264,0.01936,0.026336,0.027136,0.02688,0.02704,0.026784,0.027104,0.0272,0.026208,0.026208,0.026016,0.02688,0.026976,0.025952,0.026912,0.026752,0.026048,0.026208,0.02656,0.026432,0.026592,0.02688,0.025792,0.027104,0.027136,0.026528,0.026496,0.027232,0.026272,0.027136,0.026112,0.026144,0.027264,0.026752,0.026912,0.027072,0.026816,0.026304,0.027456,0.026816,0.02688,0.026336
Ouroboros-C-VL - max,0.029216,0.02336,0.022304,0.022368,0.022912,0.023296,0.02288,0.022944,0.022752,0.022976,0.022848,0.031168,0.023936,0.023968,0.022624,0.022912,0.023552,0.0232,0.024384,0.023744,0.023136,0.022848,0.02368,0.022528,0.022816,0.02304,0.02256,0.026016,0.024256,0.022912,0.022848,0.023104,0.023328,0.023136,0.022912,0.023296,0.023552,0.022592,0.023392,0.024672,0.022752,0.023296,0.031456,0.02384,0.02384,0.0232,0.023808,0.0272,0.024704,0.02336,0.032928,0.041376,0.03232,0.033056,0.032416,0.033856,0.032992,0.032608,0.034816,0.033152,0.033344,0.03232,0.033696,0.031808,0.046752,0.032992,0.032352,0.03536,0.032608,0.032928,0.041152,0.033152,0.032448,0.032768,0.034176,0.032096,0.033856,0.036288,0.033536,0.033504,0.032928,0.032288,0.03232,0.032896,0.033312,0.031488,0.031744,0.03248,0.032928,0.032064,0.0328
Ouroboros-C-VL - median,0.02096,0.02128,0.020768,0.020704,0.021056,0.020864,0.020608,0.021024,0.020736,0.020608,0.020992,0.021184,0.020736,0.020896,0.020736,0.020768,0.020672,0.020832,0.021088,0.021056,0.020736,0.020992,0.021152,0.020608,0.020832,0.021088,0.021152,0.020832,0.021184,0.020896,0.020544,0.021056,0.021056,0.021024,0.020992,0.020736,0.020736,0.020992,0.020992,0.021024,0.020832,0.02096,0.021088,0.020832,0.020928,0.021056,0.020992,0.021024,0.021248,0.02112,0.029056,0.028576,0.028992,0.028736,0.02912,0.028832,0.029536,0.029312,0.029504,0.02944,0.028736,0.02912,0.029056,0.028832,0.029312,0.02944,0.029184,0.028832,0.029376,0.02896,0.030016,0.029856,0.029216,0.028928,0.029024,0.029216,0.029792,0.0288,0.0296,0.028928,0.028992,0.029024,0.0296,0.029376,0.028896,0.0288,0.028864,0.029344,0.02944,0.028832,0.029376
XMalloc - mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMalloc - std_dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMalloc - min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMalloc - max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMalloc - median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScatterAlloc - mean,0.0063008,0.00635264,0.00627328,0.00623296,0.00623296,0.00695552,0.00642176,0.0069888,0.00633152,0.00630528,0.00633472,0.00631808,0.00639104,0.00629248,0.00620288,0.00617856,0.00616256,0.00611712,0.0061664,0.00622976,0.00685504,0.00623424,0.0063008,0.00631424,0.00681088,0.00619136,0.00628544,0.00625152,0.00626944,0.00623104,0.00621568,0.006304,0.0061984,0.00623808,0.00688768,0.0063168,0.00634752,0.006304,0.00628992,0.0062688,0.00626176,0.00625728,0.00622528,0.006336,0.00618304,0.00622848,0.0146074,0.0146029,0.0146093,0.0150739,0.0296346,0.0296346,0.0296742,0.029584,0.0296038,0.0295885,0.0296365,0.0295789,0.0295456,0.0296576,0.0295206,0.030169,0.0296966,0.0296941,0.0296973,0.0294784,0.0296576,0.0295059,0.0295776,0.0296051,0.0295552,0.0296538,0.0295891,0.0296742,0.0295213,0.0295987,0.0295635,0.0296787,0.029639,0.0296621,0.0296013,0.0296019,0.029751,0.0296723,0.0297658,0.0296531,0.0296595,0.0294714,0.0295782,0.0297242,0.0296768
ScatterAlloc - std_dev,0.000160415,0.000257296,0.00021618,0.000271702,0.000264289,0.000329756,0.000651149,0.000232612,0.000228258,0.000205794,0.000231726,0.000281029,0.000204404,0.000211468,0.000216123,0.000259799,0.000300397,0.000285454,0.000273352,0.000275307,0.000313619,0.00027902,0.000285518,0.000800114,0.000308422,0.000233424,0.000241772,0.000260029,0.000301877,0.000302838,0.000268385,0.000313926,0.000303123,0.000255071,0.000288253,0.000246794,0.00066673,0.000279116,0.000246226,0.000242124,0.000266922,0.000342696,0.000280376,0.000576427,0.000279797,0.000325065,0.00021649,0.000225695,0.000197179,0.000464404,0.000185361,0.000267489,0.000239846,0.00025207,0.000227595,0.000204976,0.000224275,0.000250551,0.000293023,0.000213994,0.000347918,0.000369613,0.000257634,0.00026982,0.000228163,0.000316331,0.000253508,0.000321877,0.000248881,0.000329172,0.000292866,0.000219048,0.000213381,0.00056832,0.00029302,0.000309522,0.000239894,0.000207898,0.000306819,0.000217073,0.000259572,0.000293523,0.000632339,0.000263942,0.000220191,0.00027029,0.000271906,0.000323215,0.000357567,0.000746105,0.000333231
