Byte-Range,4-4,4-8,4-16,4-32
RegEff-CM - mean,0.00480448,0.0041664,0.00481856,0.00426432
RegEff-CM - std_dev,0.000390348,0.000517055,0.000816172,0.000373664
RegEff-CM - min,0.344192,0.227072,0.228576,0.248832
RegEff-CM - max,0.455296,0.357056,0.356928,0.35936
RegEff-CM - median,0.0048,0.004224,0.004992,0.004288
Ouroboros-P-VL - mean,0.0247923,0.0190022,0.0180634,0.0143718
Ouroboros-P-VL - std_dev,0.00279322,0.00197933,0.00187258,0.00179502
Ouroboros-P-VL - min,0.012864,0.010272,0.010624,0.01024
Ouroboros-P-VL - max,1.77126,1.08563,0.891456,0.805664
Ouroboros-P-VL - median,0.024608,0.018976,0.018208,0.013984
Ouroboros-C-VL - mean,0.0102611,0.0102246,0.00936896,0.00901504
Ouroboros-C-VL - std_dev,0.000294025,0.000373139,0.00048578,0.000439277
Ouroboros-C-VL - min,0.063264,0.061952,0.05744,0.059712
Ouroboros-C-VL - max,0.758784,0.861632,0.657728,0.684896
Ouroboros-C-VL - median,0.010336,0.0104,0.009568,0.009216
ScatterAlloc - mean,0.00833024,0.00509952,0.00513408,0.00515008
ScatterAlloc - std_dev,0.00248302,0.000201449,0.000166788,0.000157992
ScatterAlloc - min,0.006496,0.005472,0.005696,0.005376
ScatterAlloc - max,0.014784,0.012288,0.012352,0.016704
ScatterAlloc - median,0.006208,0.005152,0.005184,0.005184
Ouroboros-P-VA - mean,0.0184397,0.0141408,0.0137971,0.0126669
Ouroboros-P-VA - std_dev,0.00114695,0.000686331,0.00183794,0.00125923
Ouroboros-P-VA - min,0.009248,0.006784,0.006496,0.007328
Ouroboros-P-VA - max,1.30019,1.21133,1.28112,1.31949
Ouroboros-P-VA - median,0.018016,0.01408,0.013184,0.01248
RegEff-AW - mean,0.00357056,0.00320704,0.0044256,0.00371264
RegEff-AW - std_dev,0.000475287,0.00103102,0.00217852,0.000948334
RegEff-AW - min,0.003616,0.004,0.00288,0.00336
RegEff-AW - max,0.012352,0.013248,0.015648,0.016224
RegEff-AW - median,0.00352,0.003488,0.003488,0.003488
Ouroboros-C-S - mean,0.0107597,0.0107603,0.0100666,0.00942464
Ouroboros-C-S - std_dev,0.000250465,0.000194102,0.000188457,0.000704734
Ouroboros-C-S - min,0.057216,0.058816,0.051296,0.053728
Ouroboros-C-S - max,0.764928,0.728704,0.738688,0.68848
Ouroboros-C-S - median,0.010816,0.010816,0.010112,0.009408
Ouroboros-P-S - mean,0.0157824,0.0150214,0.0130266,0.0134106
Ouroboros-P-S - std_dev,0.00440807,0.000247134,0.000959698,0.000354484
Ouroboros-P-S - min,0.0056,0.005568,0.00544,0.00496
Ouroboros-P-S - max,1.62058,0.948864,1.21238,1.17507
Ouroboros-P-S - median,0.015008,0.01504,0.012864,0.013504
XMalloc - mean,,,,
XMalloc - std_dev,,,,
XMalloc - min,,,,
XMalloc - max,,,,
XMalloc - median,,,,
CUDA - mean,2.21656,2.21695,2.21318,2.19236
CUDA - std_dev,0.0482822,0.0446295,0.0431496,0.0590341
CUDA - min,0.917664,0.907712,0.930848,0.90272
CUDA - max,5.25264,5.23667,5.18938,5.17859
CUDA - median,2.22547,2.22339,2.22374,2.2041
RegEff-CFM - mean,,,,
RegEff-CFM - std_dev,,,,
RegEff-CFM - min,,,,
RegEff-CFM - max,,,,
RegEff-CFM - median,,,,
Ouroboros-C-VA - mean,0.015376,0.0123712,0.0113018,0.0103795
Ouroboros-C-VA - std_dev,0.000166677,0.00205814,0.000277696,0.000199405
Ouroboros-C-VA - min,0.085248,0.066944,0.059008,0.060064
Ouroboros-C-VA - max,0.783168,14.0544,13.2485,0.801376
Ouroboros-C-VA - median,0.01536,0.012096,0.011328,0.0104
RegEff-CF - mean,0.00493312,0.0046176,0.00474304,0.00461056
RegEff-CF - std_dev,0.000463828,0.000654437,0.00132502,0.000333282
RegEff-CF - min,5.68336,4.54131,4.56403,4.78253
RegEff-CF - max,9.5079,7.13187,9.59293,8.28742
RegEff-CF - median,0.004928,0.004544,0.004576,0.00464
Halloc - mean,,,,
Halloc - std_dev,,,,
Halloc - min,,,,
Halloc - max,,,,
Halloc - median,,,,
RegEff-C - mean,0.00437248,0.00432832,0.00421696,
RegEff-C - std_dev,0.000656609,0.000328764,0.000680218,
RegEff-C - min,5.38349,3.05571,3.23021,
RegEff-C - max,11.1748,6.18605,7.62374,
RegEff-C - median,0.004224,0.004352,0.004288,
