Threads,1,2,4,8,16,32,64,128,256,512,1024
Ouroboros-P-VA - mean,0.0279622,0.025975,0.0267795,0.0262701,0.0263571,0.0271475,0.0271546,0.0290106,0.026343,0.0262272,0.0269229
Ouroboros-P-VA - std_dev,0.123003,0.113377,0.113801,0.114186,0.114066,0.113778,0.113132,0.129172,0.110357,0.111962,0.112506
Ouroboros-P-VA - min,0.008576,0.008288,0.00864,0.008384,0.00832,0.00864,0.008672,0.009088,0.008128,0.008736,0.008928
Ouroboros-P-VA - max,0.888768,0.819488,0.8232,0.825376,0.82464,0.823232,0.818784,0.933088,0.798528,0.809792,0.814208
Ouroboros-P-VA - median,0.00928,0.009248,0.009312,0.00928,0.00928,0.009312,0.009408,0.009632,0.009568,0.009568,0.009856
ScatterAlloc - mean,0.0224358,0.0103565,0.0104115,0.0104397,0.0101466,0.010151,0.00998592,0.0100077,0.0101894,0.00933056,0.00944832
ScatterAlloc - std_dev,0.0263488,0.00395203,0.00341655,0.00292655,0.00306234,0.00227332,0.00271287,0.00286491,0.00260504,0.002048,0.00233946
ScatterAlloc - min,0.009472,0.008192,0.008224,0.0088,0.008224,0.008416,0.008224,0.008192,0.008352,0.008256,0.008096
ScatterAlloc - max,0.185568,0.027008,0.025856,0.019008,0.025024,0.016992,0.022368,0.019264,0.018368,0.017792,0.020704
ScatterAlloc - median,0.014144,0.009216,0.00928,0.009088,0.009024,0.009088,0.009024,0.009056,0.009152,0.008352,0.00912
Ouroboros-P-S - mean,0.0224877,0.0219334,0.023184,0.0231014,0.023081,0.0229114,0.022921,0.0229337,0.0232717,0.0227821,0.022583
Ouroboros-P-S - std_dev,0.0904736,0.0946001,0.0952224,0.099134,0.0922659,0.093418,0.0956038,0.0903847,0.0977588,0.0943753,0.093748
Ouroboros-P-S - min,0.00784,0.00752,0.007232,0.007872,0.007648,0.007904,0.007136,0.00848,0.00816,0.00768,0.007968
Ouroboros-P-S - max,0.655456,0.684128,0.689728,0.716896,0.668608,0.67664,0.691936,0.6552,0.707488,0.683232,0.678656
Ouroboros-P-S - median,0.008672,0.008704,0.009664,0.008704,0.008704,0.008736,0.008704,0.008896,0.008832,0.008768,0.008768
Ouroboros-C-VL - mean,0.0243578,0.0214246,0.0219674,0.0213638,0.0219232,0.0217779,0.0219232,0.0235744,0.0228614,0.0241408,0.032215
Ouroboros-C-VL - std_dev,0.0899389,0.0750508,0.0749339,0.0758413,0.0752953,0.0751007,0.0752569,0.0828656,0.0776313,0.0751755,0.0760533
Ouroboros-C-VL - min,0.009152,0.009088,0.008576,0.008288,0.009024,0.009152,0.008992,0.009888,0.009056,0.01152,0.0184
Ouroboros-C-VL - max,0.653728,0.546528,0.54608,0.551872,0.548608,0.546912,0.548256,0.603584,0.56608,0.55008,0.56448
Ouroboros-C-VL - median,0.01104,0.009824,0.009792,0.009792,0.009792,0.009824,0.009824,0.011648,0.011456,0.012992,0.021408
Ouroboros-C-S - mean,0.0209504,0.022528,0.0205408,0.022816,0.0207047,0.0211328,0.0217965,0.0212557,0.0237613,0.024887,0.030935
Ouroboros-C-S - std_dev,0.0749028,0.0749103,0.0751114,0.0740968,0.0751475,0.0762824,0.0746743,0.0754746,0.0847251,0.0747048,0.0750015
Ouroboros-C-S - min,0.008672,0.008928,0.008,0.008864,0.008672,0.008832,0.008992,0.008704,0.008352,0.01312,0.018016
Ouroboros-C-S - max,0.544992,0.546656,0.546016,0.540896,0.546496,0.554912,0.544448,0.54928,0.616608,0.54768,0.555584
Ouroboros-C-S - median,0.009472,0.011008,0.008704,0.010848,0.009504,0.009536,0.010912,0.009504,0.011232,0.014016,0.019616
RegEff-CFM - mean,,,,,,,,,,,
RegEff-CFM - std_dev,,,,,,,,,,,
RegEff-CFM - min,,,,,,,,,,,
RegEff-CFM - max,,,,,,,,,,,
RegEff-CFM - median,,,,,,,,,,,
RegEff-CF - mean,,,,,,,,,,,
RegEff-CF - std_dev,,,,,,,,,,,
RegEff-CF - min,,,,,,,,,,,
RegEff-CF - max,,,,,,,,,,,
