Bytes,3900,3904,3908,3912,3916,3920,3924,3928,3932,3936,3940,3944,3948,3952,3956,3960,3964,3968,3972,3976,3980,3984,3988,3992,3996,4000,4004,4008,4012,4016,4020,4024,4028,4032,4036,4040,4044,4048,4052,4056,4060,4064,4068,4072,4076,4080,4084,4088,4092,4096,4100,4104,4108,4112,4116,4120,4124,4128,4132,4136,4140,4144,4148,4152,4156,4160,4164,4168,4172,4176,4180,4184,4188,4192,4196,4200,4204,4208,4212,4216,4220,4224,4228,4232,4236,4240,4244,4248,4252,4256,4260,4264,4268,4272,4276,4280
CUDA - mean,2.13157,1.79451,1.80472,1.80492,1.81418,1.78744,1.8094,1.80134,1.80501,1.80485,1.82237,1.80037,1.8088,1.8088,1.80103,1.82013,1.80948,1.80557,1.80953,1.8076,1.80994,1.81573,1.82449,1.79736,1.81564,1.81848,1.81723,1.83103,1.82405,1.79469,1.83641,1.81167,1.82412,1.80773,1.80799,1.83301,1.8269,1.83864,1.83502,1.81636,1.83444,1.81715,1.82108,1.82685,1.83082,1.79513,1.82024,1.80191,1.81107,1.7819,1.81034,1.82208,1.80723,1.81333,1.81287,1.82037,1.80891,1.81364,1.81021,1.81466,1.80642,1.80602,1.82354,1.82219,1.8087,1.80311,1.80744,1.81593,1.80131,1.82853,1.80736,1.82175,1.83461,1.81773,1.82756,1.78222,1.81253,1.80806,1.83737,1.80061,1.81859,1.81926,1.83715,1.84368,1.81691,1.82975,1.811,1.80314,1.82361,1.83135,1.81867,1.78976,1.8433,1.82371,1.83409,1.81139
CUDA - std_dev,0.654531,0.570901,0.582035,0.592436,0.606053,0.59366,0.577164,0.586798,0.598614,0.595346,0.590505,0.566514,0.596024,0.588357,0.568728,0.604443,0.594929,0.585593,0.580566,0.590484,0.590302,0.587626,0.579372,0.59494,0.579127,0.561145,0.604241,0.562788,0.570626,0.592768,0.583385,0.594025,0.590523,0.581101,0.580932,0.586866,0.591138,0.581214,0.605162,0.596082,0.586061,0.585681,0.580757,0.568889,0.583028,0.587971,0.574308,0.588437,0.562658,0.602601,0.586886,0.585449,0.584021,0.575841,0.586445,0.59652,0.591081,0.582229,0.562387,0.58348,0.609407,0.591441,0.580868,0.607666,0.58777,0.588916,0.595383,0.583689,0.582921,0.588542,0.588983,0.592069,0.561945,0.584761,0.563709,0.568853,0.590898,0.582287,0.5644,0.58886,0.594204,0.596306,0.582404,0.58758,0.589613,0.579881,0.585033,0.585131,0.595343,0.590373,0.563793,0.561653,0.593305,0.587767,0.578886,0.584578
CUDA - min,1.45696,1.50518,1.5505,1.57709,1.52368,1.52115,1.55021,1.47283,1.5295,1.50653,1.59827,1.48269,1.54682,1.52909,1.51965,1.58688,1.52147,1.56986,1.5295,1.5384,1.49421,1.56346,1.50176,1.51078,1.55971,1.55254,1.54531,1.47987,1.5367,1.54522,1.55917,1.52829,1.55206,1.51046,1.51824,1.58666,1.53632,1.54538,1.54678,1.54842,1.58726,1.51402,1.53373,1.55331,1.55478,1.55322,1.56061,1.56243,1.5801,1.53904,1.55376,1.55491,1.53514,1.5448,1.53075,1.54698,1.45734,1.53437,1.53757,1.51824,1.53706,1.50806,1.57952,1.53152,1.48963,1.52301,1.5439,1.56378,1.5609,1.56221,1.54774,1.48275,1.6113,1.52579,1.5904,1.49053,1.49024,1.56438,1.58598,1.5368,1.5392,1.53254,1.50624,1.58774,1.5057,1.53286,1.5471,1.5439,1.57501,1.53453,1.51635,1.56691,1.57696,1.51446,1.56672,1.53226
CUDA - max,6.2681,5.74918,5.84813,5.93136,6.03373,5.90144,5.81987,5.87853,5.95955,5.93914,5.94461,5.72979,5.96134,5.90333,5.75283,6.03664,5.94704,5.88496,5.85046,5.90397,5.91766,5.90723,5.8447,5.9241,5.84362,5.71558,6.01386,5.74659,5.7959,5.90698,5.89888,5.92918,5.9336,5.8337,5.83904,5.92307,5.94522,5.89232,6.0496,5.96365,5.91437,5.89213,5.86102,5.78784,5.89424,5.87958,5.81139,5.89075,5.72016,5.95994,5.8889,5.8936,5.86291,5.81174,5.89792,5.97011,5.90973,5.85917,5.71718,5.87379,6.03792,5.91901,5.86851,6.04496,5.88125,5.89299,5.94077,5.87018,5.85146,5.93091,5.90656,5.93504,5.75085,5.88253,5.75504,5.71578,5.91789,5.86144,5.7775,5.88611,5.95024,5.9624,5.89619,5.94525,5.9089,5.8607,5.88179,5.86454,5.96826,5.94,5.73654,5.68845,5.98371,5.90579,5.86397,5.87706
CUDA - median,2.24275,1.7489,1.75446,1.73318,1.75184,1.74419,1.74925,1.75338,1.75533,1.75062,1.74829,1.7543,1.73882,1.75248,1.74394,1.74326,1.7465,1.74176,1.75062,1.75894,1.74262,1.75315,1.7687,1.75309,1.75728,1.7656,1.75597,1.7697,1.76205,1.74106,1.77162,1.76195,1.75571,1.75997,1.76061,1.77104,1.74845,1.7705,1.76701,1.75312,1.77456,1.75722,1.76547,1.76038,1.76666,1.7375,1.76493,1.74925,1.7599,1.73779,1.75677,1.76698,1.75018,1.76291,1.7521,1.76442,1.75878,1.76074,1.76758,1.74867,1.74966,1.74986,1.75984,1.76419,1.77158,1.74845,1.75424,1.76074,1.74707,1.76122,1.74598,1.76198,1.77309,1.764,1.76339,1.7449,1.75434,1.74688,1.76426,1.75894,1.75514,1.76262,1.76102,1.76403,1.75715,1.76499,1.74362,1.75347,1.75757,1.76966,1.76474,1.74518,1.76768,1.76688,1.76944,1.74518
RegEff-C - mean,111.129,126.495,111.537,111.894,111.867,125.594,127.806,112.458,112.485,127.056,127.814,111.122,111.639,125.534,127.228,126.14,125.655,112.186,128.164,111.173,127.322,127.025,114.416,112.653,110.41,111.112,112.556,126.054,124.783,111.107,127.674,126.018,127.104,128.307,113.734,112.574,140.999,126.798,127.785,112.617,128.687,112.682,111.212,112.809,126.629,112.127,112.233,109.859,157.048,173.14,171.339,171.387,155.924,156.202,158.578,155.455,173.196,155.573,157.98,171.012,155.801,156.6,172.201,154.072,156.608,174.033,141.592,156.023,156.52,157.655,173.01,156.06,156.174,156.148,170.158,155.082,157.549,172.854,155.834,157.422,172.629,157.301,157.203,155.556,171.032,142.18,156.136,155.14,169.673,172.98,172.348,158.054,156.423,155.734,142.345,155.755
RegEff-C - std_dev,252.227,268.491,253.205,254.157,253.999,266.043,271.071,255.262,255.317,269.493,271.224,251.983,254.454,267.21,271.008,268.573,266.886,255.317,272.723,252.8,270.606,270.005,260.96,256.628,250.762,252.549,255.961,267.576,265.538,253.49,272.249,268.605,270.325,272.654,258.895,256.105,280.958,268.929,271.545,255.907,273.721,256.288,252.384,256.578,270.429,256.107,256.702,250.615,296.026,308.785,305.542,305.729,292.954,293.898,298.79,292.395,308.766,292.528,297.445,304.478,293.911,295.477,307.72,290.482,294.534,310.273,282.4,293.475,294.571,297.009,308.418,293.777,293.394,293.443,302.705,291.357,297.331,308.865,293.808,297.021,307.373,295.917,295.663,292.464,304.418,283.413,293.633,291.609,301.627,307.959,306.736,297.265,295.235,293.83,284.947,293.873
RegEff-C - min,6.01514,5.72435,5.21322,5.51453,5.03482,5.52118,6.03597,5.86387,5.57034,5.40019,5.65709,5.0608,5.80909,5.05834,5.64563,5.26682,5.86163,5.50378,5.2313,5.65392,5.83136,5.78429,5.50256,5.44678,4.98048,5.12736,5.41958,4.9568,5.25133,4.72931,5.57565,5.73683,5.53139,5.02755,5.78573,5.46381,4.99587,5.25594,5.71718,5.64262,4.87962,5.43674,5.84362,5.17373,5.32266,5.57328,5.59206,5.37843,5.07594,5.79478,5.4105,4.9615,5.88349,5.55709,5.8305,5.5488,5.40736,5.24243,4.98733,5.64931,5.06426,5.73622,5.66938,5.65878,5.23747,6.05085,5.44563,5.77539,5.8616,5.57709,5.54048,5.55974,5.46134,5.82342,5.07414,5.54864,5.19267,5.25994,5.60259,5.38256,6.14294,5.22493,5.88643,5.89216,5.75789,5.46877,5.30963,5.39334,5.89789,5.37226,5.79094,5.78003,5.25488,5.73219,5.44496,5.30211
RegEff-C - max,760.08,760.262,750.891,755.246,780.8,768.263,765.972,764.875,762.413,781.226,780.877,761.729,762.05,758.256,780.913,784.783,781.55,786.542,788.808,765.302,780.934,760.188,789.045,780.588,758.123,758.565,781.34,755.105,753.397,765.981,781.366,784.877,780.835,781.016,780.943,783.352,780.486,780.99,785.136,784.423,781.189,780.701,785.117,765.098,789.008,756.205,783.8,747.23,767.985,787.704,784.756,784.812,761.894,783.204,791.591,767.489,791.303,767.667,787.202,768.365,786.702,783.348,785.951,757.352,768.44,783.203,762.267,767.937,767.214,793.32,768.658,791.076,767.504,765.075,768.697,762.891,791.518,785.222,768.182,786.814,785.676,783.727,784.027,762.095,786.624,763.279,783.765,758.778,752.463,787.293,783.211,785.562,782.711,767.055,766.081,760.284
RegEff-C - median,9.6328,9.62989,9.6545,9.65782,9.68445,9.71357,9.74771,9.71731,9.67267,9.70208,9.7056,9.6921,9.13408,9.14624,9.13398,9.14176,9.48678,9.42368,9.40506,9.49485,9.6169,9.60653,9.54509,9.40934,9.65386,9.59654,9.63958,9.64323,9.12006,9.14643,9.13917,9.12294,9.61706,9.64333,9.57619,9.66288,9.73398,9.68726,9.71994,9.6856,9.70224,9.6569,9.70064,9.65402,9.11939,9.12147,9.09824,9.11459,9.52976,9.59926,9.55776,9.52912,9.69002,9.64858,9.65075,9.67901,9.66438,9.67952,9.6777,9.67805,9.19139,9.19158,9.19747,9.16058,9.6961,9.6729,9.69667,9.6848,9.66544,9.62819,9.69277,9.63034,9.69894,9.71232,9.71085,9.7112,9.16342,9.1664,9.15219,9.16499,9.64883,9.6504,9.67344,9.65814,9.67542,9.67808,9.65222,9.6472,9.69523,9.71818,9.70736,9.69462,9.12042,9.0929,9.12339,9.1481
Halloc - mean,1.71568,1.71614,1.70768,1.71198,1.71958,1.72338,1.72208,1.72388,1.71115,1.70596,1.72206,1.7194,1.71069,1.71378,1.72055,1.70985,1.73084,1.6986,1.73065,1.72003,1.71768,1.70941,1.70849,1.73008,1.70418,1.71991,1.69732,1.72096,1.7185,1.70551,1.71238,1.7076,1.70907,1.71025,1.6994,1.7169,1.70736,1.71821,1.72117,1.71404,1.71585,1.69995,1.71797,1.73067,1.70517,1.71268,1.71705,1.71739,1.71366,1.71512,1.71361,1.72207,1.72036,1.72932,1.71483,1.70982,1.73123,1.71687,1.72425,1.70602,1.71181,1.70786,1.71948,1.70321,1.72301,1.71502,1.71834,1.72668,1.6951,1.73293,1.72428,1.70985,1.7109,1.71827,1.71986,1.73183,1.71153,1.70532,1.70561,1.71454,1.71195,1.70887,1.71033,1.70775,1.72964,1.71323,1.71049,1.71219,1.69705,1.71671,1.72941,1.72986,1.71165,1.69868,1.72599,1.70914
Halloc - std_dev,0.183147,0.184178,0.153758,0.178291,0.198379,0.191461,0.189313,0.195538,0.18202,0.159082,0.16967,0.171037,0.173386,0.15888,0.190729,0.174748,0.181087,0.169857,0.16036,0.161777,0.177106,0.178995,0.17338,0.180369,0.180058,0.14876,0.191353,0.187697,0.183737,0.177229,0.189305,0.166975,0.165124,0.184862,0.17645,0.177243,0.180758,0.171743,0.187944,0.165995,0.184062,0.192606,0.169415,0.170995,0.185658,0.188021,0.181019,0.163922,0.185507,0.185401,0.197234,0.151786,0.163935,0.178516,0.162052,0.182415,0.180333,0.181876,0.173179,0.159949,0.179234,0.178431,0.184688,0.18385,0.215977,0.167575,0.170797,0.167938,0.186675,0.170391,0.150578,0.173296,0.178162,0.186419,0.181928,0.175331,0.179829,0.187191,0.176692,0.184013,0.177137,0.179916,0.149726,0.181283,0.176609,0.171072,0.186235,0.184912,0.185913,0.188433,0.184313,0.172794,0.167525,0.178067,0.194923,0.160803
Halloc - min,1.48765,1.45974,1.52707,1.54029,1.50678,1.51654,1.5352,1.53165,1.45942,1.55318,1.53478,1.51194,1.52758,1.4985,1.45222,1.4905,1.54477,1.53155,1.6297,1.51091,1.50688,1.47491,1.4879,1.48781,1.48461,1.54358,1.44886,1.50416,1.49622,1.50624,1.46976,1.45568,1.49882,1.52742,1.46528,1.53798,1.47478,1.48234,1.50554,1.52816,1.52269,1.49709,1.47674,1.54157,1.48349,1.52102,1.4505,1.44976,1.48042,1.47773,1.45165,1.57782,1.53306,1.55142,1.46304,1.50112,1.54362,1.51277,1.47574,1.46314,1.48026,1.5368,1.5016,1.46678,1.5064,1.55843,1.50144,1.50451,1.49389,1.47446,1.50326,1.47622,1.53878,1.49472,1.48371,1.5568,1.51776,1.52192,1.52547,1.50349,1.50733,1.49149,1.54704,1.4831,1.50576,1.49565,1.45136,1.47126,1.46173,1.52125,1.55533,1.55312,1.50218,1.50742,1.52438,1.49104
